attack,ids,reaction_time,f1_score

dos_0.5,frequency,0.0,1.0
dos_0.1,frequency,0.0,1.0
dos_0.01,frequency,0.0,1.0
dos_0.001,frequency,0.0,1.0
dos_0.5,transitions,0.0,1.0
dos_0.1,transitions,0.0,1.0
dos_0.01,transitions,0.0,1.0
dos_0.001,transitions,0.0,1.0
dos_0.5,hamming,0.0,0.7763157894736843
dos_0.1,hamming,0.0,0.9457735247208932
dos_0.01,hamming,0.0,0.994307718064624
dos_0.001,hamming,0.0,0.999427965745243
fuzz-rand_0.5,frequency,0.0,1.0
fuzz-rand_0.1,frequency,0.0,1.0
fuzz-rand_0.01,frequency,0.0,1.0
fuzz-rand_0.001,frequency,0.0,1.0
fuzz-rand_0.5,transitions,0.0,1.0
fuzz-rand_0.1_transitions,0.0,1.0
fuzz-rand_0.01,transitions,0.0,1.0
fuzz-rand_0.001,transitions,0.0,1.0
fuzz-rand_0.5,hamming,0.0,0.7763157894736843
fuzz-rand_0.1,hamming,0.0,0.9457735247208932
fuzz-rand_0.01,hamming,0.0,0.994307718064624
fuzz-rand_0.001,hamming,0.0,0.999427965745243
fuzz-randlist_0.5,frequency,0.0,0.32
fuzz-randlist_0.1,frequency,0.09999990463256836,0.3068783068783069
fuzz-randlist_0.01,frequency,0.029999971389770508,0.27341411261582327
fuzz-randlist_0.001,frequency,0.0039997100830078125,0.4706830185301226
fuzz-randlist_0.5,transitions,0.0,0.619718309859155
fuzz-randlist_0.1,transitions,0.0,0.5827067669172932
fuzz-randlist_0.01,transitions,0.0,0.5725162488393686
fuzz-randlist_0.001,transitions,0.0009999275207519531,0.615303827443054
fuzz-randlist_0.5,hamming,0.0,0.5793450881612091
fuzz-randlist_0.1,hamming,0.0,0.677906976744186
fuzz-randlist_0.01,hamming,0.0,0.7340588988476313
fuzz-randlist_0.001,hamming,0.0,0.6242650481102594
replay_0.5,frequency,0.24416589736938477,0.004705882352941177
replay_1.0,frequency,0.24416589736938477,0.002366863905325444
replay_5.0,frequency,-1624363886.676327,0
replay_10.0,frequency,-1624363891.676327,0
replay_0.5,transitions,-1624363882.176327,0
replay_1.0,transitions,-1624363882.676327,0
replay_5.0,transitions,-1624363886.676327,0
replay_10.0,transitions,-1624363891.676327,0
replay_0.5,hamming,-1624363882.176327,0
replay_1.0,hamming,-1624363882.676327,0
replay_5.0,hamming,-1624363886.676327,0
replay_10.0,hamming,-1624363891.676327,0
